t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal,yield_kg_per_ha
2025-09-05,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-09-05,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4400.0,4600,4600,2988.49
2025-09-05,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3600.0,3800,3800,2988.49
2025-09-03,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4800.0,5200,5000,2988.49
2025-09-02,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4800.0,5200,5000,2988.49
2025-09-01,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4800.0,5200,5000,2988.49
2025-08-30,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4800.0,5200,5000,2988.49
2025-08-30,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-08-29,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4800.0,5200,5000,2988.49
2025-08-29,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-08-28,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4800.0,5200,5000,2988.49
2025-08-28,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-08-27,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-08-27,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,5600.0,6000,5800,2988.49
2025-08-26,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4800.0,5200,5000,2988.49
2025-08-25,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4700.0,4800,4750,2988.49
2025-08-25,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4800.0,5200,5000,2988.49
2025-08-24,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4700.0,4800,4750,2988.49
2025-08-23,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4700.0,4800,4750,2988.49
2025-08-23,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4800.0,5200,5000,2988.49
